timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713939790049,15,GO,200,OK,CATEGORIA_POST 1-4,text,true,,481,230,17,17,http://localhost:3000/api/v1/inventario/categorias,15,0,0
1713939789894,173,PYTHON,201,Created,CATEGORIA_POST 1-9,text,true,,369,234,17,17,http://localhost:8000/api/v1/inventario/categorias,173,0,0
1713939790064,5,JAVA,201,,CATEGORIA_POST 1-4,,true,,121,232,17,17,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939790068,14,GO,200,OK,CATEGORIA_POST 1-9,text,true,,481,230,18,18,http://localhost:3000/api/v1/inventario/categorias,14,0,0
1713939790083,5,JAVA,201,,CATEGORIA_POST 1-9,,true,,121,232,18,18,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939789894,209,PYTHON,201,Created,CATEGORIA_POST 1-2,text,true,,369,234,19,19,http://localhost:8000/api/v1/inventario/categorias,209,0,1
1713939790103,4,GO,200,OK,CATEGORIA_POST 1-2,text,true,,481,230,19,19,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790107,4,JAVA,201,,CATEGORIA_POST 1-2,,true,,121,232,19,19,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939789911,215,PYTHON,201,Created,CATEGORIA_POST 1-10,text,true,,369,234,20,20,http://localhost:8000/api/v1/inventario/categorias,215,0,1
1713939790126,5,GO,200,OK,CATEGORIA_POST 1-10,text,true,,481,230,20,20,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790131,6,JAVA,201,,CATEGORIA_POST 1-10,,true,,121,232,21,21,http://localhost:8080/api/v1/inventario/categorias,6,0,1
1713939789917,230,PYTHON,201,Created,CATEGORIA_POST 1-5,text,true,,369,234,21,21,http://localhost:8000/api/v1/inventario/categorias,230,0,0
1713939790147,4,GO,200,OK,CATEGORIA_POST 1-5,text,true,,481,230,21,21,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939789935,218,PYTHON,201,Created,CATEGORIA_POST 1-11,text,true,,369,234,22,22,http://localhost:8000/api/v1/inventario/categorias,218,0,1
1713939790151,5,JAVA,201,,CATEGORIA_POST 1-5,,true,,121,232,22,22,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939790153,5,GO,200,OK,CATEGORIA_POST 1-11,text,true,,481,230,22,22,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790158,6,JAVA,201,,CATEGORIA_POST 1-11,,true,,121,232,22,22,http://localhost:8080/api/v1/inventario/categorias,6,0,1
1713939789939,233,PYTHON,201,Created,CATEGORIA_POST 1-3,text,true,,369,234,22,22,http://localhost:8000/api/v1/inventario/categorias,233,0,1
1713939790172,5,GO,200,OK,CATEGORIA_POST 1-3,text,true,,481,230,23,23,http://localhost:3000/api/v1/inventario/categorias,5,0,0
1713939790177,5,JAVA,201,,CATEGORIA_POST 1-3,,true,,121,232,23,23,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939789950,265,PYTHON,201,Created,CATEGORIA_POST 1-6,text,true,,369,234,25,25,http://localhost:8000/api/v1/inventario/categorias,265,0,1
1713939790215,3,GO,200,OK,CATEGORIA_POST 1-6,text,true,,481,230,25,25,http://localhost:3000/api/v1/inventario/categorias,3,0,0
1713939790218,3,JAVA,201,,CATEGORIA_POST 1-6,,true,,121,232,25,25,http://localhost:8080/api/v1/inventario/categorias,3,0,0
1713939789951,287,PYTHON,201,Created,CATEGORIA_POST 1-12,text,true,,369,234,26,26,http://localhost:8000/api/v1/inventario/categorias,287,0,1
1713939790238,6,GO,200,OK,CATEGORIA_POST 1-12,text,true,,481,230,26,26,http://localhost:3000/api/v1/inventario/categorias,6,0,1
1713939790244,6,JAVA,201,,CATEGORIA_POST 1-12,,true,,121,232,26,26,http://localhost:8080/api/v1/inventario/categorias,6,0,1
1713939789975,287,PYTHON,201,Created,CATEGORIA_POST 1-13,text,true,,369,234,27,27,http://localhost:8000/api/v1/inventario/categorias,287,0,1
1713939789983,285,PYTHON,201,Created,CATEGORIA_POST 1-1,text,true,,369,234,28,28,http://localhost:8000/api/v1/inventario/categorias,285,0,1
1713939790262,7,GO,200,OK,CATEGORIA_POST 1-13,text,true,,481,230,28,28,http://localhost:3000/api/v1/inventario/categorias,7,0,1
1713939790268,7,GO,200,OK,CATEGORIA_POST 1-1,text,true,,481,230,28,28,http://localhost:3000/api/v1/inventario/categorias,7,0,0
1713939790269,10,JAVA,201,,CATEGORIA_POST 1-13,,true,,121,232,28,28,http://localhost:8080/api/v1/inventario/categorias,10,0,1
1713939790275,8,JAVA,201,,CATEGORIA_POST 1-1,,true,,121,232,28,28,http://localhost:8080/api/v1/inventario/categorias,8,0,0
1713939789990,308,PYTHON,201,Created,CATEGORIA_POST 1-14,text,true,,369,234,29,29,http://localhost:8000/api/v1/inventario/categorias,308,0,1
1713939790298,5,GO,200,OK,CATEGORIA_POST 1-14,text,true,,481,230,29,29,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939789997,309,PYTHON,201,Created,CATEGORIA_POST 1-7,text,true,,369,234,29,29,http://localhost:8000/api/v1/inventario/categorias,309,0,0
1713939790303,5,JAVA,201,,CATEGORIA_POST 1-14,,true,,121,232,29,29,http://localhost:8080/api/v1/inventario/categorias,5,0,1
1713939790306,4,GO,200,OK,CATEGORIA_POST 1-7,text,true,,481,230,29,29,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790310,4,JAVA,201,,CATEGORIA_POST 1-7,,true,,121,232,30,30,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790006,329,PYTHON,201,Created,CATEGORIA_POST 1-15,text,true,,369,234,31,31,http://localhost:8000/api/v1/inventario/categorias,329,0,1
1713939790335,5,GO,200,OK,CATEGORIA_POST 1-15,text,true,,481,230,31,31,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790031,312,PYTHON,201,Created,CATEGORIA_POST 1-16,text,true,,369,234,31,31,http://localhost:8000/api/v1/inventario/categorias,312,0,1
1713939790340,5,JAVA,201,,CATEGORIA_POST 1-15,,true,,121,232,31,31,http://localhost:8080/api/v1/inventario/categorias,5,0,1
1713939790344,5,GO,200,OK,CATEGORIA_POST 1-16,text,true,,481,230,31,31,http://localhost:3000/api/v1/inventario/categorias,5,0,0
1713939790349,6,JAVA,201,,CATEGORIA_POST 1-16,,true,,121,232,32,32,http://localhost:8080/api/v1/inventario/categorias,6,0,0
1713939790045,319,PYTHON,201,Created,CATEGORIA_POST 1-8,text,true,,369,234,32,32,http://localhost:8000/api/v1/inventario/categorias,319,0,0
1713939790364,4,GO,200,OK,CATEGORIA_POST 1-8,text,true,,481,230,32,32,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790368,4,JAVA,201,,CATEGORIA_POST 1-8,,true,,121,232,33,33,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790051,341,PYTHON,201,Created,CATEGORIA_POST 1-17,text,true,,369,234,34,34,http://localhost:8000/api/v1/inventario/categorias,341,0,1
1713939790392,6,GO,200,OK,CATEGORIA_POST 1-17,text,true,,481,230,34,34,http://localhost:3000/api/v1/inventario/categorias,6,0,1
1713939790398,5,JAVA,201,,CATEGORIA_POST 1-17,,true,,121,232,34,34,http://localhost:8080/api/v1/inventario/categorias,5,0,1
1713939790069,342,PYTHON,201,Created,CATEGORIA_POST 1-4,text,true,,369,234,35,35,http://localhost:8000/api/v1/inventario/categorias,342,0,0
1713939790411,4,GO,200,OK,CATEGORIA_POST 1-4,text,true,,481,230,35,35,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790415,4,JAVA,201,,CATEGORIA_POST 1-4,,true,,121,232,35,35,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790071,356,PYTHON,201,Created,CATEGORIA_POST 1-18,text,true,,369,234,35,35,http://localhost:8000/api/v1/inventario/categorias,356,0,1
1713939790427,7,GO,200,OK,CATEGORIA_POST 1-18,text,true,,481,230,36,36,http://localhost:3000/api/v1/inventario/categorias,7,0,1
1713939790434,4,JAVA,201,,CATEGORIA_POST 1-18,,true,,121,232,36,36,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790089,355,PYTHON,201,Created,CATEGORIA_POST 1-9,text,true,,369,234,36,36,http://localhost:8000/api/v1/inventario/categorias,355,0,0
1713939790445,2,GO,200,OK,CATEGORIA_POST 1-9,text,true,,481,230,36,36,http://localhost:3000/api/v1/inventario/categorias,2,0,0
1713939790447,4,JAVA,201,,CATEGORIA_POST 1-9,,true,,121,232,37,37,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790092,366,PYTHON,201,Created,CATEGORIA_POST 1-19,text,true,,369,234,37,37,http://localhost:8000/api/v1/inventario/categorias,366,0,1
1713939790458,4,GO,200,OK,CATEGORIA_POST 1-19,text,true,,481,230,37,37,http://localhost:3000/api/v1/inventario/categorias,4,0,1
1713939790111,354,PYTHON,201,Created,CATEGORIA_POST 1-2,text,true,,369,234,37,37,http://localhost:8000/api/v1/inventario/categorias,353,0,1
1713939790462,4,JAVA,201,,CATEGORIA_POST 1-19,,true,,121,232,37,37,http://localhost:8080/api/v1/inventario/categorias,4,0,1
1713939790465,2,GO,200,OK,CATEGORIA_POST 1-2,text,true,,481,230,37,37,http://localhost:3000/api/v1/inventario/categorias,2,0,0
1713939790467,3,JAVA,201,,CATEGORIA_POST 1-2,,true,,121,232,38,38,http://localhost:8080/api/v1/inventario/categorias,3,0,0
1713939790112,367,PYTHON,201,Created,CATEGORIA_POST 1-20,text,true,,370,234,38,38,http://localhost:8000/api/v1/inventario/categorias,367,0,0
1713939790479,4,GO,200,OK,CATEGORIA_POST 1-20,text,true,,481,230,38,38,http://localhost:3000/api/v1/inventario/categorias,4,0,1
1713939790483,4,JAVA,201,,CATEGORIA_POST 1-20,,true,,121,232,39,39,http://localhost:8080/api/v1/inventario/categorias,4,0,1
1713939790132,370,PYTHON,201,Created,CATEGORIA_POST 1-21,text,true,,370,234,39,39,http://localhost:8000/api/v1/inventario/categorias,370,0,0
1713939790502,4,GO,200,OK,CATEGORIA_POST 1-21,text,true,,481,230,39,39,http://localhost:3000/api/v1/inventario/categorias,4,0,1
1713939790506,6,JAVA,201,,CATEGORIA_POST 1-21,,true,,121,232,40,40,http://localhost:8080/api/v1/inventario/categorias,6,0,1
1713939790137,385,PYTHON,201,Created,CATEGORIA_POST 1-10,text,true,,370,234,40,40,http://localhost:8000/api/v1/inventario/categorias,385,0,1
1713939790522,3,GO,200,OK,CATEGORIA_POST 1-10,text,true,,481,230,40,40,http://localhost:3000/api/v1/inventario/categorias,3,0,0
1713939790525,4,JAVA,201,,CATEGORIA_POST 1-10,,true,,121,232,41,41,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790152,377,PYTHON,201,Created,CATEGORIA_POST 1-22,text,true,,370,234,41,41,http://localhost:8000/api/v1/inventario/categorias,377,0,1
1713939790530,4,GO,200,OK,CATEGORIA_POST 1-22,text,true,,481,230,41,41,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790535,5,JAVA,201,,CATEGORIA_POST 1-22,,true,,121,232,41,41,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939790156,395,PYTHON,201,Created,CATEGORIA_POST 1-5,text,true,,370,234,42,42,http://localhost:8000/api/v1/inventario/categorias,395,0,1
1713939790551,4,GO,200,OK,CATEGORIA_POST 1-5,text,true,,481,230,42,42,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790555,5,JAVA,201,,CATEGORIA_POST 1-5,,true,,121,232,42,42,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939790164,407,PYTHON,201,Created,CATEGORIA_POST 1-11,text,true,,370,234,43,43,http://localhost:8000/api/v1/inventario/categorias,407,0,0
1713939790571,4,GO,200,OK,CATEGORIA_POST 1-11,text,true,,481,230,43,43,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790575,4,JAVA,201,,CATEGORIA_POST 1-11,,true,,121,232,43,43,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790173,421,PYTHON,201,Created,CATEGORIA_POST 1-23,text,true,,370,234,44,44,http://localhost:8000/api/v1/inventario/categorias,420,0,1
1713939790594,5,GO,200,OK,CATEGORIA_POST 1-23,text,true,,481,230,44,44,http://localhost:3000/api/v1/inventario/categorias,5,0,0
1713939790599,5,JAVA,201,,CATEGORIA_POST 1-23,,true,,121,232,44,44,http://localhost:8080/api/v1/inventario/categorias,5,0,1
1713939790182,428,PYTHON,201,Created,CATEGORIA_POST 1-3,text,true,,370,234,45,45,http://localhost:8000/api/v1/inventario/categorias,428,0,0
1713939790610,4,GO,200,OK,CATEGORIA_POST 1-3,text,true,,481,230,45,45,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790193,425,PYTHON,201,Created,CATEGORIA_POST 1-24,text,true,,370,234,45,45,http://localhost:8000/api/v1/inventario/categorias,425,0,1
1713939790614,4,JAVA,201,,CATEGORIA_POST 1-3,,true,,121,232,45,45,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790618,5,GO,200,OK,CATEGORIA_POST 1-24,text,true,,481,230,45,45,http://localhost:3000/api/v1/inventario/categorias,5,0,1
